SN,Tray_SN,POD_Rack_Slot,FOX_Routing,Error_Code,GPU,Nvlink,Lane,NVL0_SN,NVL1_SN,PN,Diag,StartTestTime,EndTestTime,log_file_name
1650425068447,P3952-R1000000007059,FXHC-POD2-R04-T7R,IOT,E033030006_000-000-1-000000140002,,,,1823325957940,1943325110922,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325230428,20260326000216,FXHC_NA_900-2G548-0001-0R0_1650425068447_F_IOT_20260325T230437Z.log
1650825075844,P3952-L1000000006300,FXHC-POD2-R12-T5L,IOT,E033027006_585,,,,1823825956054,1823825956053,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260326000007,20260326003045,FXHC_NA_900-2G548-0001-0R0_1650825075844_F_IOT_20260326T000016Z.log
1650925055901,P3952-L1000000007017,FXHC-POD4-R32-T3L,IOT,E033027006_585,,,,1820126953304,1662925110077,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325234744,20260326001843,FXHC_NA_900-2G548-0001-0R0_1650925055901_F_IOT_20260325T234748Z.log
1651125048983,P3952-L1000000007921,FXHC-POD3-R47-T3L,FUNCTIONAL_TEST,E028163006_000-001-1-0-008-00-546-284,,,,1823525956028,1662825110121,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325231422,20260326001254,FXHC_NA_900-2G548-0001-0R0_1651125048983_F_FCT_20260325T231426Z.log
1651425046640,P3952-R1000000006150,FXHC-POD4-R33-T3R,FUNCTIONAL_TEST,E028163006_000-001-1-0-008-00-546-284,,,,SBCQTN252391279,1662125111830,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325231516,20260326000214,FXHC_NA_900-2G548-0001-0R0_1651425046640_F_FCT_20260325T231521Z.log
1651525070507,P3952-L1000000007838,FXHC-POD2-R04-T9L,IOT,E033027006_585,,,,1824425951650,1662825110367,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325233346,20260326000356,FXHC_NA_900-2G548-0001-0R0_1651525070507_F_IOT_20260325T233355Z.log
1651625121654,P3952-R1000000005221,FXHC-POD4-R30-T7R,IOT,E033030006_000-000-1-000000140002,,,,1820126953328,1662125110679,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325235101,20260326004829,FXHC_NA_900-2G548-0001-0R0_1651625121654_F_IOT_20260325T235105Z.log
1651825036225,P3952-R1000000000826,FXHC-POD2-R07-T7R,IOT,E033030006_000-000-1-000000140002,,,,1823825957326,1662025111116,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325234404,20260326004440,FXHC_NA_900-2G548-0001-0R0_1651825036225_F_IOT_20260325T234413Z.log
1652225062966,P3952-R1000000006227,FXHC-POD3-R39-T4R,IOT,E033027006_585,,,,1823625959477,1333725330013,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325232202,20260326002608,FXHC_NA_900-2G548-0001-0R0_1652225062966_F_IOT_20260325T232207Z.log
1652225064502,P3952-L1000000005799,FXHC-POD2-R08-T7L,IOT,E033030006_000-000-1-000000140002,,,,1823825956639,1662125112038,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325235725,20260326005429,FXHC_NA_900-2G548-0001-0R0_1652225064502_F_IOT_20260325T235733Z.log
